"id","name"
"1","Bosch"
"2","Magneti Marelli"
"3","Siemens"
"4","Delphi"
"5","Continental"
"6","Mitsubishi"
"7","Keihin"
"8","Denso"
"9","Melco"
"10","Ford"
"11","Temic"
"12","ACDelco"
"13","MBE"
"14","EFI"
"15","Delco"
"16","Motorola"
"17","Getrag"
"18","Valeo"
"19","Sagem"
"20","Visteon"
"21","Kefico"
"22","Hitachi"
"23","Transtron"
"24","Campi"
"25","Rover"
"26","Trionic"
"27","Denso VEA"
"28","CNH KUBOTA"
"29","Caterpillar"
"30","Phoenix"
"31","Heinzmann"
"32","Bosch Rexroth"
"33","Agco"
"34","FUJITSU TEN"
"35","SisuTronic"
"36","TRW"
"37","Nikki"
"38","Cummins"
"39","Lucas"
"40","PSA EVPT"